t[yr],M_FUV,M_NUV,M_u,M_g,M_r
1.43E7,1.0588108,1.1131638,1.3168378,1.2577404,1.2681209
1.44E7,1.0683493,1.1221484,1.3249302,1.2661558,1.2733671
1.45E7,1.077945,1.1312022,1.3330974,1.2747403,1.2790396
1.46E7,1.0876078,1.1403372,1.3413526,1.2835234,1.2852127
1.47E7,1.0972706,1.1494721,1.3496078,1.2923064,1.2913857
1.48E7,1.1069334,1.1586071,1.3578629,1.3010894,1.2975588
1.49E7,1.1165962,1.167742,1.3661181,1.3098724,1.3037318
1.5E7,1.126259,1.176877,1.3743733,1.3186555,1.3099049
1.51E7,1.1359218,1.1860119,1.3826285,1.3274385,1.316078
1.52E7,1.1454861,1.195099,1.3908783,1.3363989,1.3228511
1.53E7,1.1549951,1.2041591,1.399125,1.3454591,1.3299619
1.54E7,1.1645041,1.2132193,1.4073718,1.3545193,1.3370726
1.55E7,1.1740131,1.2222795,1.4156185,1.3635795,1.3441833
1.56E7,1.1835221,1.2313396,1.4238653,1.3726397,1.351294
1.57E7,1.1930311,1.2403998,1.432112,1.3816999,1.3584047
1.58E7,1.20254,1.24946,1.4403588,1.3907601,1.3655154
1.59E7,1.2117395,1.2582689,1.4484687,1.3999308,1.3731505
1.6E7,1.2206416,1.2668362,1.4564471,1.4092077,1.3812895
1.61E7,1.2295437,1.2754036,1.4644255,1.4184846,1.3894286
1.62E7,1.2384457,1.283971,1.4724038,1.4277615,1.3975676
1.63E7,1.2473478,1.2925384,1.4803822,1.4370384,1.4057066
1.64E7,1.2562499,1.3011058,1.4883606,1.4463152,1.4138456
1.65E7,1.265152,1.3096732,1.496339,1.4555921,1.4219847
1.66E7,1.2740484,1.3182366,1.504319,1.4648851,1.4301763
1.67E7,1.2828081,1.3267022,1.512337,1.4745656,1.4396394
1.68E7,1.2915679,1.3351679,1.520355,1.484246,1.4491025
1.69E7,1.3003276,1.3436335,1.5283731,1.4939265,1.4585656
1.7E7,1.3090874,1.3520992,1.5363911,1.503607,1.4680287
1.71E7,1.3178472,1.3605649,1.5444092,1.5132875,1.4774918
1.72E7,1.3266069,1.3690305,1.5524272,1.522968,1.4869549
1.73E7,1.3353667,1.3774962,1.5604453,1.5326484,1.496418
1.74E7,1.3438433,1.3856575,1.5682091,1.542324,1.506504
1.75E7,1.3513159,1.3927393,1.5750711,1.5519821,1.5187995
