gapp,rapp,newrabs
21.460650929575543,19.759419040621943,-21.65649386784245
20.646394015383457,19.70940943182793,-21.25905340946065
21.547215629679535,20.31142436754282,-20.68799354933764
18.800275511395974,18.396575437514166,-17.232208029535258
19.434221897066216,18.84063461199259,-20.075322293119868
21.621559888335803,19.751374290203238,-22.645402168102663
20.671910991539285,19.041152427680295,-21.19290991815135
21.932837609870624,20.10658127170189,-20.806288034737385
19.704546537889676,18.43465830777597,-21.009713487358304
20.21788957199788,19.00153784697634,-20.434908651655157
21.597097894803007,19.928872515387262,-21.179104320485735
19.69848143409893,18.210110030402127,-21.226850868315644
18.912042220370346,18.22208101043605,-21.30134757920441
20.58477510655323,19.601423158482838,-19.849614123714538
21.166008057986623,19.580293250857032,-21.807092840798994
20.057846675189687,18.660508061537065,-22.3173017594779
20.816748127326342,19.77449838931394,-20.881866644311877
20.052686379423243,19.380131250587077,-19.46443384149771
21.61932520826462,20.01181032614442,-20.997658090691274
20.260832578136323,18.956994614210878,-20.821708981605475
19.71454709583859,18.71131506755311,-20.640394888317566
20.55630190249088,19.655445159697386,-20.922693487979664
20.144000448354227,19.391801159534886,-20.30406230931397
21.19133307029437,19.500094217808105,-21.427498879548267
20.410985182128748,19.13443182970024,-20.623544244869542
21.189811089885275,19.708746103729602,-20.045487157718163
20.669138262926346,18.79316755997383,-22.21284096513366
21.07440691248511,19.540304888561444,-21.496560638154854
20.362775474599466,19.53092674750456,-20.240488239930507
21.57962510493072,20.013625721845663,-20.997118529523945
20.72949143350784,19.99114894868479,-19.76560398892262
19.95532303367198,19.155465118284987,-20.60566342271717
19.65188037500716,18.8064337499627,-20.971420456046744
21.294348997731596,20.132993571192763,-20.83941418297951
21.366642730099436,19.173276910077185,-22.20262250616598
21.233812424104393,19.86994869062989,-21.05331908070366
21.457887520611813,20.081537531229593,-19.69214309532706
19.41186455445729,18.71387318778074,-19.798264030858988
19.35904866744547,17.818739226420654,-22.224998525761897
21.489669309191108,20.069005937598412,-20.838574725790835
20.74079146594304,19.175415615071337,-21.735712739624866
19.049555783370486,17.955414432344405,-20.361205220833718
18.244584459206102,17.601611509185084,-19.92752796903762
21.217171054528855,20.01135697858995,-21.084941485828857
19.992395434310758,19.051938426984925,-20.856592251551234
19.922115830057315,18.69366484452123,-21.23136674037808
20.46418334844345,19.337392663780243,-22.809385415920303
19.43687119703241,18.24369428578529,-20.80589377542139
19.919863549501592,18.820873004036308,-20.234350672727913
20.421824009824853,19.233572847607682,-20.524021368490132
19.994297555762877,18.09714358592003,-22.801630876715933
20.622895106650496,18.844857470631545,-22.061321536934614
21.36432887240212,19.70977559672982,-21.217085713958767
20.57604775029703,18.745050125015787,-22.24919978895776
22.054238044454117,20.290903920300856,-21.728301530301437
20.96165543555872,19.56444104158711,-21.391519865202675
22.058391319342313,20.12501229325651,-22.14189816842019
20.44947185731757,19.78779621518961,-16.43526018607602
19.443782601863056,18.554006350649864,-19.90034331195863
21.509843204512187,20.10635039724574,-20.184525827014987
19.72559244485486,18.982242119871422,-20.936635772544243
20.071270741221987,18.782981940419866,-21.507543466001273
21.719653009900007,20.045459246953506,-21.247743989762782
20.54656207715626,18.731950806549058,-22.169803713787843
20.658172569460824,18.881057246888297,-21.982243332098946
20.395680335717806,19.094834987190602,-21.62971827083338
21.065913231088693,19.698957205717896,-21.69377253189191
21.62362578029653,20.16708712268896,-20.721493121708654
19.497041657787584,18.452485750119727,-21.24333441001002
20.45069404694241,19.082883896890742,-20.610509357077134
18.99789585229599,18.428381781288984,-17.198494394844836
19.353857840471115,17.977053169662533,-21.442499514652866
21.10698755743133,20.34209021191345,-19.585667109643943
20.31293927607512,18.993555851741895,-21.90462165333512
21.52087920114959,19.615685810114506,-21.292706176551604
21.40556235909316,20.07671296697054,-20.80340586461503
19.25922027000596,18.239490690276504,-21.178053360427448
19.731040775562924,18.5612142872883,-20.854141969151343
20.680383780020797,19.375562131522464,-21.08231609023821
20.782892209852058,19.714639017824787,-21.01065732331277
19.792948685890387,18.952005775033193,-20.6527740601611
19.742043826056893,18.969956026698718,-19.909850335455076
21.303350228399886,19.968430833668556,-20.934953421145316
20.644930689398585,19.08915960690296,-21.09308946431257
21.805476677969374,19.730690714251345,-22.01846285407516
21.806391946800055,20.04811302511832,-20.84346705985157
19.993405548431532,18.952928717359946,-19.91009560716106
19.377886488164428,18.2118944052039,-21.976634765799638
19.24762852768972,18.618655036036294,-19.312014948347766
19.781567045446174,19.18983921366982,-16.478088007235712
21.34940767078013,19.79547225734965,-20.485903889128004
20.15871369580578,18.52849339938978,-21.957348879774578
19.5741548399346,17.92460598373713,-22.545282923427813
21.132229598328017,19.714294204164965,-20.281126674591505
21.176562125870042,19.753326284088224,-20.430156396199877
21.508930610373902,19.430304284629052,-22.303442088880125
20.3827983535434,18.88758529345528,-21.329790725675778
20.607821067107572,19.54623466013482,-20.638241128637
20.469193178073063,19.774474083415832,-18.545103099451076
18.367534494715763,17.792781959572203,-20.392804148802433
20.851038731427387,19.17404523203512,-21.519791486139617
21.15911561276399,19.445880800698852,-21.644744332849
21.767870192572694,19.839862236278428,-21.769549563316268
20.263726290494255,19.34515227069391,-20.841655500640243
21.746791413549154,19.983582166923817,-21.64105137234955
20.658117719637083,18.778215885372113,-22.354190589766617
17.74625371401907,16.497242561556597,-23.557641489158677
21.28639911517245,19.777125482425156,-20.391864573236795
21.807339529796387,19.877108249743777,-21.047525398093825
19.992247011823117,19.212375756161613,-19.598628394115494
20.62273592194068,19.988246071193224,-19.765549927659933
20.500458740211833,19.034557343656793,-22.08265439491813
22.324260865149164,20.42283878893914,-21.683551520263286
19.304152608607247,18.278350627741595,-17.70973490326209
21.110724175951596,19.41264772551738,-21.06253969823026
19.673978101481076,18.50371680219923,-20.518718104542728
20.15822929133595,19.162563119160872,-22.014286986610543
21.1499357056094,19.19850900066205,-22.566528650305884
19.010263762697555,18.146339836283282,-21.423568469978903
21.301266443508233,19.79225702904521,-21.763166835814772
20.605050469132628,19.084465507239322,-21.156506625710335
21.24260545041718,20.151641590892773,-19.92255040056591
21.748601024296697,19.7862969296769,-21.14651415184177
19.770521238362143,19.222527991431726,-8.165548005011754
21.564145256514543,20.219681968536058,-20.05074742672297
22.316303600321184,20.636675296205077,-20.54247904784083
