 # NUV-r g-r t[Myr]
 -0.752610683     -0.225062370              13
 -0.750813484     -0.224353790              13
 -0.749033928     -0.223649502              13
 -0.747273922     -0.222949982              13
 -0.745532990     -0.222253799              13
 -0.743808270     -0.221562386              13
 -0.742102623     -0.220874786              13
 -0.740407467     -0.220185757              14
 -0.738722324     -0.219495773              14
 -0.737046242     -0.218802452              14
 -0.735381126     -0.218108177              14
 -0.733724117     -0.217411518              14
 -0.732077599     -0.216713905              14
 -0.730442524     -0.216015816              14
 -0.728818893     -0.215319157              14
 -0.727207184     -0.214621544              14
 -0.725608349     -0.213926315              14
 -0.724020958     -0.213231564              15
 -0.722445965     -0.212538242              15
 -0.720880985     -0.211844921              15
 -0.719330311     -0.211154938              15
 -0.717794418     -0.210467815              15
 -0.716272831     -0.209784508              15
 -0.714765549     -0.209104061              15
 -0.713271618     -0.208426476              15
 -0.711791515     -0.207753181              15
 -0.710324764     -0.207082748              15
 -0.708873749     -0.206417084              16
 -0.707439899     -0.205757141              16
 -0.706022739     -0.205102444              16
 -0.704622746     -0.204454422              16
 -0.703238487     -0.203811646              16
 -0.701870918     -0.203173637              16
 -0.700519562     -0.202542305              16
 -0.699183464     -0.201915741              16
 -0.697866917     -0.201296806              16
 -0.696568489     -0.200686455              16
 -0.695290565     -0.200084686              17
 -0.694029808     -0.199489594              17
 -0.692786694     -0.198902607              17
 -0.691562653     -0.198323727              17
 -0.690354824     -0.197751045              17
 -0.689167976     -0.197188377              17
 -0.688006401     -0.196640015              17
 -0.686870575     -0.196105957              17
 -0.685760498     -0.195585251              17
 -0.684676647     -0.195079327              17
 -0.683616161     -0.194586277              18
 -0.682579994     -0.194106102              18
 -0.681566715     -0.193638802              18
 -0.680576801     -0.193183899              18
 -0.679605484     -0.192742348              18
 -0.678652287     -0.192312717              18
 -0.677717209     -0.191896439              18
 -0.676798820     -0.191491604              18
 -0.675899029     -0.191098690              18
 -0.675015450     -0.190717697              18
 -0.674148083     -0.190347672              19
 -0.673298359     -0.189989567              19
 -0.672455788     -0.189636707              19
 -0.671612263     -0.189286709              19
 -0.670767784     -0.188937187              19
 -0.669921398     -0.188589573              19
 -0.669074535     -0.188242912              19
 -0.668225765     -0.187897682              19
 -0.667376041     -0.187552929              19
 -0.666524887     -0.187210083              19
 -0.665673733     -0.186869621              20
 -0.664820194     -0.186528683              20
 -0.663968563     -0.186189651              20
 -0.663115978     -0.185851574              20
 -0.662264347     -0.185514450              20
 -0.661412716     -0.185178280              20
 -0.660561085     -0.184843063              20
 -0.659710884     -0.184509277              20
 -0.658860207     -0.184176445              20
 -0.658009052     -0.183844090              20
 -0.657159805     -0.183514118              21
 -0.656309128     -0.183183670              21
 -0.655460358     -0.182855129              21
 -0.654611588     -0.182528019              21
 -0.653763771     -0.182201385              21
 -0.652915955     -0.181876183              21
 -0.652067184     -0.181551456              21
 -0.651221752     -0.181229115              21
 -0.650374889     -0.180906773              21
 -0.649529934     -0.180586338              21
 -0.648684502     -0.180266380              22
 -0.647840500     -0.179948330              22
